x1 y
0.20202020202020202 0.04053512252983543
0.7070707070707071 0.45931985803433795
0.8080808080808081 0.5842121708924933
1.3131313131313131 1.2697817267899894
1.6161616161616161 1.6144988633912838
2.2222222222222223 1.7671556822734424
2.4242424242424243 1.593673325291577
2.6262626262626263 1.294280111849698
3.0303030303030303 0.33654557007312036
3.3333333333333335 -0.6352265429182846
5.353535353535354 -4.290380098480344
5.454545454545454 -4.0200695908304365
5.555555555555555 -3.695008416549013
7.373737373737374 6.539635701830581
7.575757575757575 7.2844296517183595
7.878787878787879 7.8763638978905774
8.686868686868687 5.844025788520684
9.292929292929292 1.221713429813351
9.393939393939394 0.2896497123925365
9.595959595959595 -1.6346413203201178
